business_id,name,period_type,current_period,previous_period,rising_star_labels,current_review_count,current_avg_stars,current_rating_improvement,prior_review_count,prior_avg_stars,prior_rating_improvement,last_update_date
--FcbSxK1AoEtEAxOgBaCw,Victory Car Wash,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",18,3.611111111111111,1.3253968253968256,7,2.2857142857142856,null,2025-02-24
-3YTjk_J0pmtcnaqrI-tAA,Tulane Lakeside Hospital,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,2.9,1.9,2,1,null,2025-02-24
-IabZS0yj6jdb4f4FnKu6w,Crafty's Taproom Warminster,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",12,4,1.2222222222222223,9,2.7777777777777777,null,2025-02-24
-U1GtVyd_kUo9a2P6pYFsQ,L&H Bridal,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",10,3.8,1.6333333333333333,12,2.1666666666666665,null,2025-02-24
-VHgGQzPP5UWg46cmqztYA,Gentle Dental Reno South,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",10,4.6,2.3499999999999996,4,2.25,null,2025-02-24
-ZuicuSamsRhuJhZZp7Lkg,"Regal Hollywood 4DX, ScreenX & RPX - Nashville",YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",13,3.3076923076923075,2.1076923076923073,5,1.2,null,2025-02-24
-amp8lR3HxCw38XatBFT6Q,Round Table Pizza,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",13,3.3846153846153846,1.4471153846153846,16,1.9375,null,2025-02-24
-bGw8ARHQucKWEHEkxpGFw,The Daily Bread Bakery & Cafe,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",15,4.666666666666667,1.0000000000000004,3,3.6666666666666665,null,2025-02-24
-bkbeuXaYdfM2APQCalgmQ,Fox’s Pizza Den,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",11,3,1,5,2,null,2025-02-24
-yMcp7py0eWNHBUZ6sxvNg,Joe's Crab Shack,YoY,2012-01-01,2011-01-01,"[""Rising Star 2011-2012""]",14,2.7142857142857144,1.3809523809523812,9,1.3333333333333333,null,2025-02-24
0-EPTwgl6sDaPSVI39YqmQ,Old Yacht Club Inn,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",10,4.9,1.2333333333333338,3,3.6666666666666665,null,2025-02-24
