business_id,name,address,city,state,postal_code,latitude,longitude,is_open,categories,review_count,stars,effective_date,expiry_date,current_flag
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ","1616 Chapala St, Ste 2",Santa Barbara,CA,93101,34.4266787,-119.7111968,false,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists",7,5,2025-02-24,9999-12-31,true
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,87 Grasso Plaza Shopping Center,Affton,MO,63123,38.551126,-90.335695,true,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services",15,3,2025-02-24,9999-12-31,true
tUFrWirKiKi_TAnsVWINQQ,Target,5255 E Broadway Blvd,Tucson,AZ,85711,32.223236,-110.880452,false,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores",22,3.5,2025-02-24,9999-12-31,true
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,true,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",80,4,2025-02-24,9999-12-31,true
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,101 Walnut St,Green Lane,PA,18054,40.3381827,-75.4716585,true,"Brewpubs, Breweries, Food",13,4.5,2025-02-24,9999-12-31,true
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,615 S Main St,Ashland City,TN,37015,36.269593,-87.058943,true,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants",6,2,2025-02-24,9999-12-31,true
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,"8522 Eager Road, Dierbergs Brentwood Point",Brentwood,MO,63144,38.627695,-90.340465,true,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories",13,2.5,2025-02-24,9999-12-31,true
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,400 Pasadena Ave S,St. Petersburg,FL,33707,27.76659,-82.732983,true,"Synagogues, Religious Organizations",5,3.5,2025-02-24,9999-12-31,true
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,8025 Mackenzie Rd,Affton,MO,63123,38.5651648,-90.3210868,false,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek",19,3,2025-02-24,9999-12-31,true
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,2312 Dickerson Pike,Nashville,TN,37207,36.2081024,-86.7681696,true,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food",10,1.5,2025-02-24,9999-12-31,true
