user_id,name,yelping_since,review_count,average_stars,fans,cool,funny,useful,elite,effective_date,expiry_date,current_flag
qVc8ODYU5SZjKXVBgXdI7w,Walker,2007-01-25,585,3.91,267,5994,1259,7217,2007,2025-02-24,null,null
j14WgRoU_-2ZE1aw1dXrJg,Daniel,2009-01-25,4333,3.74,3138,27281,13066,43091,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
2WnXYQFK0hXEoTxPtV2zvg,Steph,2008-07-25,665,3.32,52,1003,1010,2086,"2009,2010,2011,2012,2013",2025-02-24,null,null
SZDeASXq7o05mMNLshsdIA,Gwen,2005-11-29,224,4.27,28,299,330,512,"2009,2010,2011",2025-02-24,null,null
hA5lMy-EnncsH4JoR-hFGQ,Karen,2007-01-05,79,3.54,1,7,15,29,,2025-02-24,null,null
q_QQ5kBBwlCcbL1s4NVK3g,Jane,2005-03-14,1221,3.85,1357,11211,9940,14953,"2006,2007,2008,2009,2010,2011,2012,2013,2014",2025-02-24,null,null
cxuxXkcihfCbqt5Byrup8Q,Rob,2009-02-24,12,2.75,1,0,1,6,,2025-02-24,null,null
E9kcWJdJUHuTKfQurPljwA,Mike,2008-12-11,358,3.73,23,143,102,399,,2025-02-24,null,null
lO1iq-f75hnPNZkTy3Zerg,Rachelle,2008-12-29,40,4.04,7,46,40,109,,2025-02-24,null,null
AUi8MPWJ0mLkMfwbui27lg,John,2010-01-07,109,3.4,4,23,20,154,,2025-02-24,null,null
iYzhPPqnrjJkg1JHZyMhzA,Chris,2010-11-03,4,4,1,1,0,1,,2025-02-24,null,null
xoZvMJPDW6Q9pDAXI0e_Ww,Ryan,2009-05-27,535,3.89,31,573,487,1130,"2009,2010,2011,2012",2025-02-24,null,null
vVukUtqoLF5BvH_VtQFNoA,Charlene,2011-01-29,37,4.51,4,27,3,63,,2025-02-24,null,null
_crIokUeTCHVK_JVOy-0qQ,Kenny,2009-10-07,11,3.08,0,0,3,30,,2025-02-24,null,null
1McG5Rn_UDkmlkZOrsdptg,Teresa,2009-05-26,7,4.29,1,13,3,18,,2025-02-24,null,null
SgiBkhXeqIKl1PlFpZOycQ,Eugene,2006-08-25,682,3.75,44,1297,1138,1819,"2007,2008,2009,2010,2011",2025-02-24,null,null
fJZO_skqpnhk1kvomI4dmA,Jennifer,2008-07-14,25,4.15,1,19,2,29,,2025-02-24,null,null
x7YtLnBW2dUnrrpwaofVQQ,Ronskee,2010-05-06,37,3.84,9,29,29,56,,2025-02-24,null,null
QF1Kuhs8iwLWANNZxebTow,Catherine,2009-04-27,607,4.11,131,4149,3714,4573,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
VcLRGCG_VbAo8MxOm76jzA,AJ,2009-07-11,133,3.6,4,44,52,201,,2025-02-24,null,null
1L3O2CUTk27SnmqyPBWQdQ,Helen,2010-09-09,38,3.98,0,9,6,62,,2025-02-24,null,null
v7DwnrjzuTk7pXmuBPZnsg,Shell,2007-09-12,39,4,6,59,34,90,,2025-02-24,null,null
FT9CFS39sjZxVjCTrDHmdg,Stephanie,2010-06-14,201,3.52,5,203,141,555,"2015,2016",2025-02-24,null,null
MGPQVLsODMm9ZtYQW-g_OA,Jelena,2008-01-19,1807,4.06,828,13734,10461,17331,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2025-02-24,null,null
OlJ9vcVFB1iEKcZO-MS3cQ,Joz Joz Joz,2006-03-03,348,3.93,116,1537,1260,2063,"2006,2007,2008,2009,2010,2011,2012",2025-02-24,null,null
wAw9FHMiOZd9ROoc5x4DpQ,Zuzzi,2007-08-05,564,3.81,37,459,291,819,"2008,2009,2010,2011",2025-02-24,null,null
kggqL33iZjeHmUn1Rtdjzg,Jay,2010-09-20,15,3.5,9,98,76,119,,2025-02-24,null,null
wrNOKq0hOlz8q1N_YCNXCA,Peter,2008-09-30,30,4.33,5,12,10,30,,2025-02-24,null,null
4F0IjrUJGAieoWwHnRhIJw,Liliana,2007-12-19,254,3.69,21,275,243,410,"2008,2009,2010,2011,2012,2013,2014",2025-02-24,null,null
4ZaqBJqt7laPPs8xfWvr6A,Nina,2008-08-16,801,3.41,75,737,616,1944,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
zjPbmmvO4QzE_nE9uErLTg,Reis,2006-09-24,49,3.91,2,30,21,137,,2025-02-24,null,null
65uUyG9yuF0rdMh0z7ajaA,Don,2005-11-30,715,3.79,37,712,258,808,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",2025-02-24,null,null
NIhcRW6DWvk1JQhDhXwgOQ,Lia,2005-12-30,2288,3.69,345,7971,4199,12773,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
aF3mEXDJuILmeF-9PcxAsQ,C.J.,2007-06-26,250,3.53,15,150,155,507,2010,2025-02-24,null,null
baSDvZweZk6qLY_kHPvYzQ,Michelle,2008-02-18,300,3.63,22,143,175,439,"2010,2011",2025-02-24,null,null
XLs_PhrJ7Qwn_RfgMM7Djw,Weili,2009-07-12,90,3.62,1,19,21,71,,2025-02-24,null,null
rppTTi-kfF8-qyiArNemag,Helen,2006-01-24,460,3.33,49,425,149,700,"2010,2012,2013,2014,2015,2016,2017,2018",2025-02-24,null,null
KYBEVBAP7QUlt1LjmatTJg,Matthew,2007-07-12,460,3.81,63,1210,1982,1500,"2008,2009,2010,2011",2025-02-24,null,null
QJI9OSEn6ujRCtrX06vs1w,J,2007-03-19,1982,3.61,316,9879,6466,14004,2010,2025-02-24,null,null
AkBtT43dYcttxQ3qOzPBAg,Sherri,2007-02-20,1034,3.84,114,2235,1485,3066,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2025-02-24,null,null
KXZ8A8h7Q9ZJRU5TM9asjw,Joanne,2010-03-20,102,3.54,7,30,42,150,,2025-02-24,null,null
5cVgAicAhCTSrKzsKDuTdw,Chang,2007-10-07,194,3.26,4,90,89,279,,2025-02-24,null,null
HoiOETUtwO4CL0PhjDCnSw,Whitney,2008-02-19,177,3.85,25,328,210,466,"2010,2011,2012",2025-02-24,null,null
rCedFOnskGvHQTprtA4-5g,Mike,2008-12-13,108,3.87,2,39,44,71,,2025-02-24,null,null
sgCZmOkdHBiaKaE6ZKVBaA,Chris,2005-12-12,100,3.19,2,25,19,100,,2025-02-24,null,null
yzonmWerCPxEI3ROuk6caA,Julie,2008-06-21,65,3.57,5,20,17,80,2011,2025-02-24,null,null
bNJmIcxc_FRWxftI_vhpbg,Peyman,2009-04-04,58,3.06,0,5,8,28,,2025-02-24,null,null
2Yw9-N2VYZFqg2ylhpb8NA,Kathryn,2011-01-12,11,4,1,3,3,34,,2025-02-24,null,null
og-Pb8auVwO-BA_-4TnK9Q,Jennifer,2011-06-13,14,4.69,0,3,1,29,,2025-02-24,null,null
RDTVzWPoCeGaUujrHIWRBQ,Jenna,2010-09-10,155,4.11,5,68,42,222,"2011,2012,2013",2025-02-24,null,null
IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,2009-04-11,518,2.95,35,348,450,1325,"2009,2010,2011",2025-02-24,null,null
hluQms-QLpaqZASKlDCJHw,Adisak,2009-05-27,70,4.43,3,39,14,94,2010,2025-02-24,null,null
qsHZ6_yT870pmm4Oxvw5Og,Debbie,2011-06-16,39,3.85,5,19,14,68,,2025-02-24,null,null
ZIR96Kh35GvW2eLyQHJh1Q,David,2007-10-12,319,3.93,19,180,134,488,"2012,2013",2025-02-24,null,null
N4Y2GiUxnQOvUUHtFyayKg,Derek,2009-02-10,90,3.77,0,26,12,75,2010,2025-02-24,null,null
