business_id,checkin_date
---kPU91CF4Lq2-WlRu9Lw,2020-03-13
--0iUa4sNDFiZFrAdIWhZQ,2010-09-13
--30_8IhuyMHbSOcNWd6DQ,2013-06-14
--7PUidqRWpRSpXebiyxTg,2011-02-15
--7jw19RH9JKXgFohspgQw,2014-04-21
--8IbOsAAxjKRoYsBFL-PA,2015-06-06
--9osgUCSDUWUkoTLdvYhQ,2015-06-13
--ARBQr1WMsTWiwOKOj-FQ,2014-12-12
--FWWsIwxRwuw9vIMImcQg,2010-09-11
--FcbSxK1AoEtEAxOgBaCw,2017-08-18
--LC8cIrALInl2vyo701tg,2017-01-12
--MbOh2O1pATkXa7xbU6LA,2013-04-21
--N9yp3ZWqQIm7DqKRvorg,2012-10-06
--O3ip9NpXTKD4oBS1pY2A,2010-04-17
--OS_I7dnABrXvRCCuWOGQ,2018-05-11
--S43ruInmIsGrnnkmavRw,2010-08-29
--SJXpAa0E-GCp2smaHf0A,2014-04-06
--Sd93OFWITqDHifMoAy9g,2013-01-09
--ZVrH2X2QXBFdCilbirsw,2010-08-12
--ZWv8kGlM2YL58uKhGJDg,2010-10-13
--_9CAxgfXZmoFdNIRrhHA,2011-01-28
--_lZuj_WCGnDG6n0emlRg,2013-01-02
--a_r_w1HTsOY-fagPeNKg,2012-04-07
--eBbs3HpZYIym5pEw8Qdw,2013-05-07
--epgcb7xHGuJ-4PUeSLAw,2010-10-01
--gJkxbsiSIwsQKbiwm_Ng,2018-12-15
--hF_3v1JmU9nlu4zfXJ8Q,2021-09-15
--lqIzK-ZVTtgwiQM63XgQ,2011-07-29
--onnLZrsCazmcy2P_7fcw,2010-09-26
--pDYWb4DzqKdAdrPcxuaA,2013-03-25
--qLiYw2ErSmvVwumb2kdw,2018-03-30
--rS-rnOIZxoiDA8yctWpQ,2021-08-21
--sXnWH9Xm6_NvIjyuA99w,2011-06-08
--seHXaJfDtWbmFSxkzaRg,2010-07-19
--sgBOzb76sjOQ-Xhdjffw,2018-08-01
--vx2CCaG3wOSoTnRG-rig,2017-07-09
--x_BmZbxzK_nx_GHBaRVw,2011-12-07
--zb12mw2YK-7j6UaHzm8w,2019-08-11
-02xFuruu85XmDn2xiynJw,2012-01-17
-06OYKiIzxsdymBMDAKZug,2011-02-11
-06ngMH_Ejkm_6HQBYxB7g,2013-05-14
-09Oc2D14vRnmirPh0vlXw,2010-08-15
-0E708CsutslDLUuuzWGYQ,2017-03-21
-0E7laYjwZxEAQPhFJXxow,2012-12-17
-0EdehHjIQc0DtYU8QcAig,2013-11-17
-0FX23yAacC4bbLaGPvyxw,2018-04-28
-0G_6-KFGpCpxTUlVXCMYQ,2013-12-21
-0H_3r6z2giieA6oSTUFKQ,2011-12-26
-0M0b-XhtFagyLmsBtOe8w,2012-02-09
