review_id,business_id,user_id,review_date,stars,cool,funny,useful
KU_O5udG6zpxOg-VcAEodg,XQfwVwDr-v0ZS3_CbbE5Xw,mh_-eMZ6K5RLWhZyISBhwA,2018-07-07,3,0,0,0
BiTunyQ73aT9WBnpR9DZGw,7ATYjTIgM3jUlt4UM3IypQ,OyoGAe7OKpv6SyGZT5g77Q,2012-01-03,5,1,0,1
saUsX_uimxRlCVr67Z4Jig,YjUWPpI6HXG530lwP-fb2A,8g_iMtfSiwikVnbP2etR0A,2014-02-05,3,0,0,0
AqPFMleE6RsU23_auESxiA,kxX2SOes4o-D3ZQBkiMRfA,_7bHUi9Uuf5__HHc_Q8guQ,2015-01-04,5,1,0,1
Sx8TMOWLNuJBWer-0pcmoA,e4Vwtrqf-wpJfwesgvdgxQ,bcjbaE6dDog4jkNY91ncLQ,2017-01-14,4,1,0,1
JrIxlS1TzJ-iCu79ul40cQ,04UD14gamNjLY0IDYVhHJg,eUta8W_HdHMXPzLBBZhL1A,2015-09-23,1,1,2,1
6AxgBCNX_PNTOxmbRSwcKQ,gmjsEdUsKpj9Xxu6pdjH0g,r3zeYsv1XFBRA4dJpL78cw,2015-01-03,5,0,2,0
_ZeMknuYdlQcUqng_Im3yg,LHSTtnW3YHCeUkRDGyJOyw,yfFzsLmaWF2d4Sr0UNbBgg,2015-08-07,5,0,0,2
ZKvDG2sBvHVdF5oBNUOpAQ,B5XSoSG3SfvQGtKEGQ1tSQ,wSTuiTk-sKNdcFyprzZAjg,2016-03-30,3,0,1,1
pUycOfUwM8vqX7KjRRhUEA,gebiRewfieSdtt17PTW6Zg,59MxRhNVhU9MYndMkz0wtw,2016-07-25,3,0,0,0
rGQRf8UafX7OTlMNN19I8A,uMvVYRgGNXf5boolA9HXTw,1WHRWwQmZOZDAhp2Qyny4g,2015-06-21,5,0,0,2
l3Wk_mvAog6XANIuGQ9C7Q,EQ-TZ2eeD_E0BHuvoaeG5Q,ZbqSHbgCjzVAqaa7NKWn5A,2015-08-19,4,0,0,0
XW_LfMv0fV21l9c6xQd_lw,lj-E32x9_FA7GmUrBGBEWg,9OAtfnWag-ajVxRbUTGIyg,2014-06-27,4,0,0,0
8JFGBuHMoiNDyfcxuWNtrA,RZtGWDLCAtuipwaZ-UfjmQ,smOvOajNG0lS4Pq7d8g4JQ,2009-10-14,4,0,0,0
UBp0zWyH60Hmw6Fsasei7w,otQS34_MymijPTdNBoBdCw,4Uh27DgGzsp6PqrH913giQ,2011-10-27,4,0,2,0
OAhBYw8IQ6wlfw1owXWRWw,BVndHaLihEYbr76Z0CMEGw,1C2lxzUo1Hyye4RFIXly3g,2014-10-11,5,0,0,0
oyaMhzBSwfGgemSGuZCdwQ,YtSqYv1Q_pOltsVPSx54SA,Dd1jQj7S-BFGqRbApFzCFw,2013-06-24,5,0,0,0
LnGZB0fjfgeVDVz5IHuEVA,rBdG_23USc7DletfZ11xGA,j2wlzrntrbKwyOcOiB3l3w,2014-08-10,4,0,0,1
u2vzZaOqJ2feRshaaF1doQ,CLEWowfkj-wKYJlQDqT1aw,NDZvyYHTUWWu-kqgQzzDGQ,2016-03-07,5,1,0,2
Xs8Z8lmKkosqW5mw_sVAoA,eFvzHawVJofxSnD7TgbZtg,IQsF3Rc6IgCzjVV9DE8KXg,2014-11-12,5,0,0,0
vBK79c3_1Ff_oqkh5VpfGg,nRKndeZLQ3eDL10UMwS2rQ,Ohhrhu1RkqfVciIVx_W5HQ,2009-10-13,5,2,5,2
ZVvhc3Go7v5I8XTiVoWmqQ,ut6fi2W2YaipNOqvi7e0jw,WBpQDAZymU0dhIqXcACGNw,2014-11-12,3,0,0,0
J-4NdnDZ0pUQaUEEwDI9KQ,rjuWz_AD3WfXJc03AhIO_w,vrKkXsozqqecF3CW4cGaVQ,2012-12-04,5,2,2,2
eCiWBf1CJ0Zdv1uVarEhhw,vC2qm1y3Au5czBtbhc-DNw,OhECKhQEexFypOMY6kypRw,2013-09-04,4,0,0,0
lUUhg8ltDsUZ9h0xnwY4Dg,cPepkJeRMtHapc_b2Oe_dw,RreNy--tOmXMl1en0wiBOg,2018-07-17,4,1,0,1
qS6kE7CDoDagyPZwmueJaQ,c-IgS6Pk6vMyax7Rbr38eA,zoBajEyVA0z4IjbFsMJksg,2015-06-08,4,0,0,0
G_5UczbCBJriUAbxz3J7Tw,x4XdNhp0Xn8lOivzc77J-g,clWLI5OZP2ad25ugMVI8gg,2013-08-15,5,0,0,0
z0osLHDvXvzfm57D4DmD2Q,S2Ho8yLxhKAa26pBAm6rxA,xVKE_HJ2pwUtTdLbL3pnCg,2016-11-22,3,0,0,0
DyrAIuKl60j_X8Yrrv-kpg,MWmXGQ98KbRo3vsS5nZhMA,mNsVyC9tQVYtzLOCbh2Piw,2014-10-27,5,0,0,1
elqRpX9T3YwL07uLNtN3Bg,ltBBYdNzkeKdCNPDAsxwAA,-sryo4gDYxbZ1T5Bz4l5Bw,2015-02-02,2,0,0,0
-P5E9BYUaK7s3PwBF5oAyg,bMratNjTG5ZFEA6hVyr-xQ,Jha0USGDMefGFRLik_xFQg,2017-02-19,5,0,0,0
YbMyvlDA2W3Py5lTz8VK-A,bbEXAEFr4RYHLlZ-HFssTA,4hBhtCSgoxkrFgHa4YAD-w,2017-01-02,5,0,0,0
40thYphUgIfvJq17QCfTwA,0pMj5xUAecW9o1P35B0AMw,QzCEzH3R7Z6erOGLr3t55Q,2017-05-26,5,1,0,1
xdQe2E8jR6pLA07p1aYtKA,X8lfGPagfLzfOsx0k08NRQ,yFuE8SPF-d1GXJUWYgKtzg,2017-05-13,5,0,0,0
p198qZsKOMCUhgdtRWsOKQ,8QnuWGVNBhzyYXGSeRdi4g,3MpDvy5gEdsbZh9-p92dHg,2013-10-24,4,0,0,0
L0jv8c2FbpWSlfNC6bbUEA,IDtLPgUrqorrpqSLdfMhZQ,bFPdtzu11Oi0f92EAcjqmg,2016-10-13,5,0,0,0
rj0asGlfKjlXH6iEgu-jdw,LfYUOclwLs_SPrNAdKMjsw,wA7V8Ijgbv-16rmnwW-hjA,2013-11-14,5,0,0,4
pHwbdway4yeI-dSSmZA7-Q,PY9GRfzr4nTZeINf346QOw,qEEk0PuoH1dVa619t8fgpw,2017-09-20,4,0,0,0
JBWZmBy69VMggxj3eYn17Q,kq5Ghhh14r-eCxlVmlyd8w,aFa96pz67TwOFu4Weq5Agg,2018-08-23,5,0,0,0
E9AB7V4z8xrt2uPF7T55FQ,Zx7n8mdt8OzLRXVzolXNhQ,iYY5Ii1LGpZCpXFkHlMefw,2018-04-27,5,0,0,0
mO398Ed5dpv1H5ZsKc8KXw,hKameFsaXh9g8WQbv593UA,yobeeTUBfaTBcnk26mXNuA,2015-04-15,4,0,0,0
RB8UpF_kT2xoOC51OzXEeA,A2q7d-CBM2-81tVkmS4JMw,EZjT2qJN0mOXypMAqZdSrQ,2017-07-08,2,0,1,1
YcLXh-3UC9y6YFAI9xxzPQ,oBhJuukGRqPVvYBfTkhuZA,G0DHgkSsDozqUPWtlxVEMw,2015-03-05,4,0,0,0
qGQvUHmC02PAZW3H1WTIfw,eaJCpC6IhYphj7bwCDHTwQ,RRTQpg8hutdimzAYuP_Hbw,2015-08-30,5,0,0,0
jC-fGfx-YLqxVBcyTAd4Pw,W4ZEKkva9HpAdZG88juwyQ,EBa-0-6AKoy6jziNexDJtg,2013-12-29,3,0,0,0
ra9fNjYUumKp_iaqv-jjDg,jTI5Xjk27An8ceJ6VwpXiQ,l_izt6hn7oTxalU06mSyqg,2013-08-15,4,0,0,0
Ki90-hauSIfW_7sBuBBqfA,j8JOZvfeHEfUWq3gEz6ABQ,Z2cOL3n9V8NoguJ-uU_Nvw,2014-06-11,2,0,3,2
TcCcHzc3L6Aboq3DteEfZA,jNL5KUPz2-tHUJM__ysSaw,OuatwND396ZQxm2zK8WlUQ,2014-08-24,1,0,0,1
A4n4YaE-owOVgTQcrVqHUw,I6L0Zxi5Ww0zEWSAVgngeQ,S7bjj-L07JuRr-tpX1UZLw,2018-07-07,4,0,0,0
cvQXRFLCyr0S7EgFb4lZqw,EtKSTHV5Qx_Q7Aur9o4kQQ,ZGjgfSvjQK886kiTzLwfLQ,2009-10-14,5,1,1,3
yCbzm_d4cHpfUX00Ljvgmg,SSZDGl2J-CEyIzuIbEiYNQ,bHSoye7R5cL-LVWLxtaxMg,2017-09-08,2,0,0,2
r2IBPY_E8AE5_GpsqlONyg,VJEzpfLs_Jnzgqh5A_FVTg,IKbjLnfBQtEyVzEu8CuOLg,2014-04-01,4,0,0,0
cejwyz1Hn1yQ-v2m9PAovQ,GILL0ZkvVXJaNQzYRXfMQw,9ZLpaBGl-udvS-niR3Y_ow,2012-10-08,5,0,1,1
QDY_xE91MY9O-nzn56yHxQ,TyOe_EcbyAWMmPgg_ILwHQ,enaHB1e956thdnafcHVAig,2012-05-29,3,0,0,1
