business_id,user_id,tip_date,text,compliment_count
3uLgwr0qeCNMjKenHJwPGQ,AGNUgVwnZUey3gcPCJ76iw,2012-05-18,Avengers time with the ladies.,0
QoezRbYQncpRqyrLH6Iqjg,NBN4MgHP9D3cw--SnauTkA,2013-02-05,They have lots of good deserts and tasty cuban sandwiches,0
MYoRNLb5chwjQe3c_k37Gg,-copOvldyKh1qr-vzkDEvw,2013-08-18,It's open even when you think it isn't,0
hV-bABTK-glh5wj31ps_Jw,FjMQVZjSqY8syIO-53KFKw,2017-06-27,Very decent fried chicken,0
_uN0OudeJ3Zl_tf6nxg5ww,ld0AperBXk1h6UbqmM80zw,2012-10-06,Appetizers.. platter special for lunch,0
7Rm9Ba50bw23KTA8RedZYg,trf3Qcz8qvCDKXiTgjUcEg,2012-03-13,"Chili Cup + Single Cheeseburger with onion, pickle, and relish + Vanilla Coca-Cola...so far.",0
kH-0iXqkL7b8UXNpguBMKg,SMGAlRjyfuYu-c-22zIyOg,2013-12-03,"Saturday, Dec 7th 2013, ride Patco's Silver Sleigh w/ Santa & his elves on a decorated train into Center City. Trains leave from Lindenwold at 10am, 11:15am, & 12:30pm, and make all stops. Great for kids!",0
jtri188kuhe_AuEOJ51U_A,YVBB9g23nuVJ0u44zK0pSA,2016-11-22,This is probably the best place in the cool Springs area to watch a game and eat,0
xODBZmX4EmlVvbqtKN7YKg,VL12EhEdT4OWqGq0nIqkzw,2012-07-27,Tacos,0
pICJRcyqW1cF96Q3XhLSbw,4ay-fdVks5WMerYL_htkGQ,2012-06-09,Starbucks substitute in boring downtown Tampa. Ugh. Never again!,0
clwjLY7PdYJpe7IP9lrqEw,OttfcRxgRrYsTg9EV5Aozg,2014-06-17,Order the Tortilla Soup,0
wLHodvVFLTgK3nl2XG8OCw,JsXhBw6MntzTJjH_Ue5udw,2017-03-23,Very good will definitely be coming back!!,0
wUMuvdUeVZODZk7TjaD2jg,Y0JfJh4B-jrtGc_AHfWi6w,2013-02-28,If the Hotlight is on you must stop in.,0
MDr7KLYSPkEonvGojNEMBw,MlnuJ7T14CE0JDK2ZIOx5g,2011-07-20,Let's go Yankees!,0
